Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Nucleus/Cell area ratio
9937_4.tif,2aadfcbd-f574-4bda-9a58-87b621065f1c,Cell,,Trpc6: Th,VTA,Polygon,1813.4,577.65,21.4545,18.5494,0.7836,6.8214,4.6693,0.7318,79.263,21401,63.526,255,2,253,174.137,47017,65.0623,255,19,236,111.5222,30111,63.1359,255,6,249,107.1918,39.552,0.8611,14.9584,10.969,0.6526,27.5758,46.0972,255,2,59.5893,74.1951,255,2,89.6389,89.6307,255,2,14.435,28.1044,218,2,30.467,40.5536,255,2,84.0753,94.417,255,2,0.2023
9937_4.tif,eca173ea-34d4-4497-9d28-6e6058542b46,Cell,,,VTA,Polygon,1657.4,576.32,13.3082,13.4281,0.9275,4.6805,3.872,0.4493,4.6509,786,6.9189,34,2,32,189.5917,32041,62.7097,255,38,217,2.8521,482,2.8778,28,2,26,65.896,31.8956,0.814,11.9476,7.8705,0.7435,3.8878,6.2537,57,2,53.239,77.8404,255,2,2.6951,2.1346,28,2,3.6897,6.0591,57,2,17.8418,23.0058,182,2,2.6544,1.8954,19,2,0.1939
9937_4.tif,ac818800-0f7c-49a0-a54b-3c718e0c1e69,Cell,,,VTA,Polygon,1746.3,582.01,70.332,33.4369,0.7905,11.7166,8.421,0.7171,5.7686,5036,9.5989,71,2,69,219.0768,191254,53.2096,255,21,234,3.3219,2900,3.3278,53,2,51,200.7528,58.0237,0.7493,21.6312,14.3019,0.7922,5.8608,10.5374,157,2,99.0859,99.3776,255,2,7.5726,20.3006,255,2,5.9104,11.0128,157,2,34.3842,41.489,255,2,9.8647,24.7689,255,2,0.3467
9937_4.tif,b7df16ff-397e-4164-b2d3-a0ecc7186ff8,Cell,,,VTA,Polygon,1652.4,584.37,50.8133,28.7875,0.7705,10.8589,7.0304,0.7787,4.5211,2889,7.5325,66,2,64,199.0407,127187,58.485,255,39,216,2.7746,1773,2.2373,21,2,19,211.964,56.7601,0.8268,20.8858,13.2673,0.7917,4.8154,7.7141,66,2,63.769,84.3382,255,2,2.9045,2.3386,27,2,4.91,7.771,65,2,20.3107,23.0281,200,2,2.9462,2.3692,27,2,0.2417
9937_4.tif,3b8892e0-8d4f-40e5-9b12-f82268a38582,Cell,,,VTA,Polygon,1589.4,584.08,55.6526,28.3987,0.8672,10.111,7.8759,0.6119,3.852,2681,4.4102,30,2,28,216.9612,151005,46.7032,255,79,176,2.7802,1935,3.0187,51,2,49,229.8696,55.8285,0.9268,19.1399,15.2229,0.5582,3.7717,4.4645,37,2,64.1456,91.6719,255,2,2.6307,1.9778,51,2,3.7457,4.4826,37,2,14.7907,20.8006,164,2,2.5824,1.4919,23,2,0.241
9937_4.tif,896bf229-ffda-4847-acd6-054142ebf196,Cell,,,VTA,Polygon,1863.2,584.65,31.2139,22.1967,0.7961,8.7412,5.5166,0.7218,3.8756,1527,4.7756,30,2,28,188.17,74139,63.4739,255,24,231,3.2868,1295,2.3941,18,2,16,129.1302,43.7407,0.8481,16.6958,10.8256,0.7345,4.7986,7.2269,78,2,67.1453,79.9338,255,2,11.0966,18.8735,140,2,5.0992,7.8401,78,2,27.7372,28.8863,194,2,13.6397,21.0732,140,2,0.2417
9937_4.tif,082a7c27-b6fc-4e0d-8558-f082cf4f5d64,Cell,,,VTA,Polygon,1855.4,582.16,10.2433,13.4216,0.7146,5.5505,2.4627,0.8905,4.7895,637,6.2378,38,2,36,140.406,18674,47.7409,255,28,227,3.2932,438,1.9609,12,2,10,36.5372,26.0668,0.6757,8.9485,6.9153,0.587,4.3786,5.1139,38,2,70.6149,63.7757,255,2,3.5996,2.7449,26,2,4.2099,4.574,31,2,41.966,44.517,251,2,3.7253,3.0018,26,2,0.2753
9937_4.tif,c3b7c071-640a-48eb-872b-2f8ab2b51054,Cell,,,VTA,Polygon,2076.2,582.65,17.1797,16.4975,0.7932,5.7959,4.0439,0.5617,4.9862,1082,8.0866,60,2,58,173.0783,37558,60.5806,255,33,222,2.8018,608,2.2053,15,2,13,112.6764,40.3937,0.8678,15.4757,9.7109,0.7546,5.1279,7.8345,60,2,54.3664,63.7508,255,2,3.345,2.948,34,2,5.1538,7.7906,54,2,32.5909,32.8307,255,2,3.4446,3.0551,34,2,0.1517
9937_4.tif,1df96a1f-9faf-4f98-abc3-cf4d4166112c,Cell,,,VTA,Polygon,2084.6,587.38,69.3642,36.5953,0.6509,13.3283,7.8462,0.851,5.5098,4755,8.8316,67,2,65,201.3453,173761,55.558,255,37,218,3.7207,3211,6.1223,102,2,100,180.9921,54.9029,0.7545,19.4264,11.9071,0.7978,5.508,8.7664,71,2,99.7509,93.6899,255,2,13.1802,34.0048,255,2,5.5069,8.7287,71,2,36.4469,43.3875,255,2,19.0744,41.9935,255,2,0.3827
9937_4.tif,0de37508-4d59-4419-8be9-434ab9715f9c,Cell,,,VTA,Polygon,1851.8,587.32,11.5338,12.4247,0.9389,4.4494,3.4808,0.5836,5.2345,759,6.3202,33,2,31,199.9379,28991,54.9098,255,68,187,4.7103,683,3.9369,25,2,23,54.5235,29.338,0.796,10.2603,8.0065,0.5585,5.2887,6.1533,37,2,65.0412,80.381,255,2,5.8085,7.7241,99,2,5.3034,6.1132,37,2,28.412,33.3104,249,2,6.1067,8.4433,99,2,0.207
