Group,mouse_ID,slice,Metric,Label,Value
sgTrpc6,9935,3,Count,Th:Trpc6,457.0
sgTrpc6,9935,3,Mean_all,Th,57.19091815980629
sgTrpc6,9935,3,Mean_all,Trpc6,29.839624767225327
sgTrpc6,9935,3,Mean_Th_pos,Th,57.19091815980629
sgTrpc6,9935,3,Mean_Th_pos,Trpc6,30.196924507658643
sgTrpc6,9935,3,Mean_Th_neg,Th,
sgTrpc6,9935,3,Mean_Th_neg,Trpc6,27.79855
sgTrpc6,9936,1,Count,Th,494.0
sgTrpc6,9936,1,Count,Trpc6,57.0
sgTrpc6,9936,1,Count,Th:Trpc6,124.0
sgTrpc6,9936,1,Mean_all,Th,29.32790372168285
sgTrpc6,9936,1,Mean_all,Trpc6,29.440638121546957
sgTrpc6,9936,1,Mean_Th_pos,Th,29.32790372168285
sgTrpc6,9936,1,Mean_Th_pos,Trpc6,29.53021370967742
sgTrpc6,9936,1,Mean_Th_neg,Th,
sgTrpc6,9936,1,Mean_Th_neg,Trpc6,29.24577192982456
sgTrpc6,9936,2,Count,Th,502.0
sgTrpc6,9936,2,Count,Trpc6,29.0
sgTrpc6,9936,2,Count,Th:Trpc6,87.0
sgTrpc6,9936,2,Mean_all,Th,22.26515721561969
sgTrpc6,9936,2,Mean_all,Trpc6,27.012074137931034
sgTrpc6,9936,2,Mean_Th_pos,Th,22.26515721561969
sgTrpc6,9936,2,Mean_Th_pos,Trpc6,27.179214942528734
sgTrpc6,9936,2,Mean_Th_neg,Th,
sgTrpc6,9936,2,Mean_Th_neg,Trpc6,26.510651724137926
sgTrpc6,9936,3,Count,Th,559.0
sgTrpc6,9936,3,Count,Trpc6,16.0
sgTrpc6,9936,3,Count,Th:Trpc6,112.0
sgTrpc6,9936,3,Mean_all,Th,41.468045603576755
sgTrpc6,9936,3,Mean_all,Trpc6,38.204289843750004
sgTrpc6,9936,3,Mean_Th_pos,Th,41.468045603576755
sgTrpc6,9936,3,Mean_Th_pos,Trpc6,38.50905357142857
sgTrpc6,9936,3,Mean_Th_neg,Th,
sgTrpc6,9936,3,Mean_Th_neg,Trpc6,36.07094375
sgTrpc6,9937,2,Count,Th,626.0
sgTrpc6,9937,2,Count,Trpc6,131.0
sgTrpc6,9937,2,Count,Th:Trpc6,385.0
sgTrpc6,9937,2,Mean_all,Th,48.45921780415431
sgTrpc6,9937,2,Mean_all,Trpc6,20.68756414728682
sgTrpc6,9937,2,Mean_Th_pos,Th,48.45921780415431
sgTrpc6,9937,2,Mean_Th_pos,Trpc6,21.5312012987013
sgTrpc6,9937,2,Mean_Th_neg,Th,
sgTrpc6,9937,2,Mean_Th_neg,Trpc6,18.208172519083973
sgTrpc6,9937,3,Count,Th,513.0
sgTrpc6,9937,3,Count,Trpc6,92.0
sgTrpc6,9937,3,Count,Th:Trpc6,422.0
sgTrpc6,9937,3,Mean_all,Th,58.238777433155086
sgTrpc6,9937,3,Mean_all,Trpc6,21.672589883268483
sgTrpc6,9937,3,Mean_Th_pos,Th,58.238777433155086
sgTrpc6,9937,3,Mean_Th_pos,Trpc6,23.24151777251185
sgTrpc6,9937,3,Mean_Th_neg,Th,
sgTrpc6,9937,3,Mean_Th_neg,Trpc6,14.475985869565216
