Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Nucleus/Cell area ratio
123_3.tif,00e2df21-47f9-4f35-802d-bc7f81a4c02f,Cell,,,VTA,Polygon,2054.3,384.76,71.3806,36.5357,0.672,11.2325,9.4145,0.4099,3.0701,2714,3.4289,33,1,32,3.3563,2967,9.3557,83,1,82,161.2545,142549,64.0434,255,19,236,200.9948,54.2073,0.8596,18.6587,15.4648,0.4838,3.499,5.0786,51,1,2.7499,7.7315,83,1,72.982,80.0097,255,1,3.7343,5.7749,51,1,2.4171,6.6543,61,1,24.5444,32.2633,255,1,0.3551
123_3.tif,1a00ccd0-3745-47ac-8862-6a53a7f55d44,Cell,,,VTA,Polygon,2037.6,383.84,33.9562,23.9043,0.7468,8.2914,5.8221,0.6844,3.3183,1397,3.714,38,1,37,2.7458,1156,7.3714,51,1,50,38.0071,16001,29.5775,134,2,132,131.9532,42.5262,0.9169,15.1069,12.0909,0.5356,2.7345,2.6507,38,1,2.2966,6.601,57,1,17.1291,23.0774,134,2,2.5332,2.1317,21,1,2.1417,6.3094,57,1,9.9304,14.591,104,2,0.255
123_3.tif,9a4c4386-0f8e-4d3a-9060-2f7498d1ed22,Cell,,,VTA,Polygon,2139.8,387.69,91.3026,45.4785,0.5547,14.6764,9.9333,0.7035,2.742,3104,2.8599,54,1,53,3.2756,3708,9.2172,88,1,87,172.9355,195763,68.2518,255,1,254,259.8736,65.7965,0.7543,23.4925,16.5472,0.6543,2.7591,2.8169,54,1,3.6019,9.854,89,1,75.4846,85.5961,255,1,2.7683,2.794,43,1,3.7783,10.1797,89,1,22.7783,29.2367,255,1,0.3499
123_3.tif,69b46473-5431-4763-a90c-253768595477,Cell,,,VTA,Polygon,1922,391.56,117.7578,45.3961,0.7181,16.573,11.594,0.7257,5.4246,7947,11.8347,125,1,124,3.7454,5487,9.9554,89,1,88,137.1126,200870,64.3495,255,2,253,318.1073,67.899,0.8671,23.6978,17.4108,0.6138,4.5283,9.1335,125,1,3.2758,9.1226,90,1,70.2996,71.0569,255,2,3.9988,7.018,100,1,2.9984,8.5829,90,1,30.8315,37.297,255,2,0.3711
123_3.tif,26397f46-1dac-474c-b5cd-1dd056acf68a,Cell,,,VTA,Polygon,1947.7,386.65,17.1797,15.8145,0.8632,5.6105,4.5018,0.5163,2.6045,573,2.3801,22,1,21,2.7727,610,8.1719,80,1,79,124.3591,27359,67.0954,255,3,252,63.7989,31.018,0.8333,11.5308,7.7373,0.7667,2.6902,2.7258,44,1,2.7594,8.0075,96,1,51.1977,61.3159,255,2,2.723,2.8484,44,1,2.7544,7.9508,96,1,23.1568,25.2941,155,2,0.2722
123_3.tif,9953230e-ff82-40ab-807a-e0cb9ef18622,Cell,,,VTA,Polygon,1966,390.16,54.0395,30.4477,0.7325,10.536,7.3965,0.7585,2.5888,1750,2.2163,25,1,24,2.9541,1997,8.0426,79,1,78,78.2145,52873,43.9582,233,2,231,216.8033,55.9906,0.8691,20.478,13.6387,0.7236,2.7196,2.6113,32,1,3.4329,9.0271,101,1,34.4292,38.2368,233,2,2.7635,2.7302,32,1,3.5936,9.3308,101,1,19.7253,21.0846,158,2,0.2501
123_3.tif,ffca6fe2-dd84-4806-9c98-549c0eb61ffb,Cell,,,VTA,Polygon,2023.5,388.56,18.8735,18.9111,0.6632,6.6216,4.2642,0.7173,4.9256,1192,5.5415,37,1,36,5.3719,1300,11.7852,84,1,83,68.7066,16627,39.4082,208,2,206,47.9097,32.8384,0.5583,13.6384,6.1436,0.8413,4.5374,5.1542,37,1,4.1348,10.0951,84,1,50.4093,36.0465,208,2,4.2758,4.8663,31,1,3.3008,8.693,58,1,38.0752,27.4474,134,2,0.4002
123_3.tif,5714cfc0-5c92-497b-adab-0221e787dd6a,Cell,,,VTA,Polygon,2105.5,389.97,26.5358,20.8555,0.7667,8.3927,4.26,0.8677,2.6727,890,1.9445,22,1,21,3.9369,1311,7.9094,52,1,51,130.8168,43562,60.263,255,11,244,145.0195,45.8515,0.8668,15.5768,12.8851,0.5449,2.8016,2.3268,26,1,3.7849,8.0844,77,1,37.7865,53.3334,255,2,2.8308,2.4048,26,1,3.7503,8.1258,77,1,16.6548,15.9349,114,2,0.1816
123_3.tif,c5eb0f2e-7251-45d7-b719-b7761e298683,Cell,,,VTA,Polygon,1957.1,388.1,10.2433,13.265,0.7315,4.8463,3.1809,0.753,2.7388,367,2.7336,25,1,24,2.9925,401,8.4413,59,1,58,75.4254,10107,56.9447,255,2,253,44.6028,28.1106,0.7093,11.4153,5.805,0.8538,2.7253,2.4601,25,1,3.1077,8.5989,71,1,39.4758,42.4378,255,2,2.721,2.3704,18,1,3.1442,8.6578,71,1,28.0875,28.4688,184,2,0.2374
123_3.tif,1ce2e4d0-b5b3-4063-90cc-82938fc65a6e,Cell,,,VTA,Polygon,1896,387.61,26.8584,21.0058,0.7649,6.9508,5.1045,0.6688,3.0758,1055,3.7728,36,1,35,2.7872,956,7.9493,65,1,64,69.9359,23988,39.7482,209,2,207,142.3578,45.7791,0.8536,16.4925,11.3767,0.7075,5.442,8.3614,104,1,2.7951,8.1874,96,1,28.9881,34.3221,209,2,6.0119,9.0371,104,1,2.7971,8.2465,96,1,19.125,24.0984,206,2,0.191
123_3.tif,38813b7d-c264-4f26-9d47-4eb2ed6ab8c0,Cell,,Th,VTA,Polygon,2067.4,390.01,15.6473,15.9445,0.7734,5.787,3.9025,0.6787,20.51,4102,19.7456,129,1,128,4.295,859,10.6864,64,1,63,91.47,18294,43.9307,210,2,208,59.1208,31.1051,0.7679,11.3816,6.622,0.8199,14.3582,17.7981,138,1,3.2008,8.3752,64,1,45.4003,42.5065,210,2,12.067,16.4571,138,1,2.7933,7.3011,60,1,28.2421,26.0302,141,2,0.2676
123_3.tif,d0133f04-4649-4a05-9a98-d5f5d4b49d09,Cell,,,VTA,Polygon,2030.5,390.55,11.6951,18.5359,0.4277,6.7838,3.6019,0.8899,4.0342,589,4.4712,34,1,33,4.1507,606,10.3773,61,1,60,40,5840,28.0905,145,2,143,40.4087,23.9018,0.8888,8.4277,6.6569,0.5502,3.8079,3.9847,34,1,3.6,9.0349,61,1,29.4376,25.3319,145,2,3.7159,3.7718,21,1,3.376,8.4338,56,1,25.1421,22.7993,143,2,0.2816
123_3.tif,5d57745e-e510-4405-a178-56e3685fc128,Cell,,,VTA,Polygon,2191.5,392.2,62.2664,29.5331,0.8971,9.5471,8.674,0.3189,2.9543,2263,3.4344,50,1,49,3.6475,2794,9.5527,95,1,94,142.4778,109138,62.3125,255,4,251,206.7213,54.5379,0.8734,19.2039,14.1861,0.7092,3.5614,5.3521,93,1,3.6097,9.4539,95,1,54.7822,69.5429,255,2,3.8195,5.9664,93,1,3.5936,9.4142,81,1,17.4836,24.0702,158,2,0.2994
123_3.tif,2f7e4ce5-d7e3-425a-9f7d-05c3e5558470,Cell,,Th,VTA,Polygon,2207.8,392.91,56.7012,35.0216,0.5809,12.6284,7.4457,0.8211,26.591,18986,37.0932,225,1,224,8.1793,5840,22.73,184,1,183,50.1078,35777,33.6339,173,2,171,246.9687,58.6752,0.9015,19.8831,17.0307,0.4565,15.9248,27.6055,238,1,5.2007,14.6789,184,1,22.3497,26.5586,173,2,12.6786,23.034,238,1,4.2941,10.9757,107,1,13.9015,16.4367,105,2,0.2311
