Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Trpc6 mean,Nucleus: Trpc6 sum,Nucleus: Trpc6 std dev,Nucleus: Trpc6 max,Nucleus: Trpc6 min,Nucleus: Trpc6 range,Nucleus: Dapi mean,Nucleus: Dapi sum,Nucleus: Dapi std dev,Nucleus: Dapi max,Nucleus: Dapi min,Nucleus: Dapi range,Nucleus: Th mean,Nucleus: Th sum,Nucleus: Th std dev,Nucleus: Th max,Nucleus: Th min,Nucleus: Th range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: Trpc6 mean,Cell: Trpc6 std dev,Cell: Trpc6 max,Cell: Trpc6 min,Cell: Dapi mean,Cell: Dapi std dev,Cell: Dapi max,Cell: Dapi min,Cell: Th mean,Cell: Th std dev,Cell: Th max,Cell: Th min,Cytoplasm: Trpc6 mean,Cytoplasm: Trpc6 std dev,Cytoplasm: Trpc6 max,Cytoplasm: Trpc6 min,Cytoplasm: Dapi mean,Cytoplasm: Dapi std dev,Cytoplasm: Dapi max,Cytoplasm: Dapi min,Cytoplasm: Th mean,Cytoplasm: Th std dev,Cytoplasm: Th max,Cytoplasm: Th min,Nucleus/Cell area ratio
9937_2.tif,1694711b-da48-484f-8737-0c0b60b2a620,Cell,,,VTA,Polygon,597.8,231.12,85.576,36.328,0.8149,13.1347,9.4645,0.6855,4.7284,5031,7.631,52,2,50,243.6363,259229,29.0464,255,22,233,2.532,2694,1.8405,22,2,20,257.4539,59.8362,0.9036,21.6641,15.4021,0.6937,4.6683,7.729,65,2,99.1694,108.2502,255,1,2.7429,2.1277,36,2,4.6383,7.7792,65,2,26.9699,38.7964,255,1,2.8483,2.2505,36,2,0.332
9937_2.tif,f4851f7e-275f-4a51-9720-fb6c3312d5de,Cell,,,VTA,Polygon,595.92,241.92,16.5345,15.7961,0.8327,6.0829,4.1121,0.7173,6.7163,1397,10.3406,57,2,55,244.0096,50754,30.7274,255,97,158,3.0337,631,2.8033,27,2,25,57.5077,30.9669,0.7536,11.0744,7.8696,0.6758,5.0126,8.0281,57,2,89.4338,105.7886,255,2,2.8089,2.2821,27,2,4.3163,6.7524,37,2,26.2672,40.0952,255,2,2.7171,2.027,25,2,0.2885
9937_2.tif,c1b47d37-876b-4f55-9bcb-633bdc4b9714,Cell,,,VTA,Polygon,600.59,246.55,21.6158,19.9049,0.6856,7.5866,5.1454,0.7565,3.2764,901,4.3727,31,2,29,225.2073,61932,51.1375,255,29,226,2.6145,719,1.8553,18,2,16,71.7838,35.1223,0.7313,12.8844,8.8011,0.6911,3.7993,5.9418,49,2,85.0392,104.17,255,2,2.6009,1.8951,18,2,4.0324,6.5104,49,2,22.5656,43.0381,255,2,2.5948,1.914,17,2,0.3066
9937_2.tif,84be73c9-1611-46b3-8089-e118b7379ba9,Cell,,,VTA,Polygon,541.39,250.08,21.3738,26.0821,0.3948,7.4905,5.8056,0.5119,3.9889,1081,5.4511,37,2,35,199.1328,53965,67.5599,255,8,247,2.6494,718,1.8971,17,2,15,153.4884,49.3728,0.7912,16.2944,14.3534,0.3475,5.6978,7.2388,55,2,102.9418,98.6754,255,2,2.8636,2.0567,24,2,5.981,7.4576,55,2,86.9982,93.854,255,2,2.8991,2.0804,24,2,0.137
9937_2.tif,14c2b84c-86b3-4ee4-bbcb-8f505747610a,Cell,,,VTA,Polygon,554.43,250.44,62.1051,29.2122,0.9146,10.2517,7.8105,0.6499,3.7575,2897,5.6911,37,2,35,237.1089,182811,35.6294,255,90,165,2.4202,1866,1.5625,16,2,14,184.4603,50.7449,0.9002,18.3187,14.6157,0.4709,3.9485,6.0938,52,2,100.4664,105.564,255,1,2.6924,2.1382,32,2,4.0454,6.2876,52,2,31.2018,43.3791,255,1,2.8304,2.3659,32,2,0.3338
9937_2.tif,b081985a-283e-4472-92d1-40585f941ecb,Cell,,,VTA,Polygon,569.65,252.47,10.4046,13.0156,0.7718,4.6615,3.1569,0.7194,5.4815,740,9.2275,51,2,49,95.1259,12842,43.5471,243,18,225,2.8667,387,2.2586,19,2,17,94.0449,38.3972,0.8016,14.3536,8.5079,0.8061,4.6293,7.5262,59,2,25.4238,32.9825,243,2,2.9375,2.4228,26,2,4.5179,7.2725,59,2,16.3146,16.2887,196,2,2.9468,2.4444,26,2,0.1118
9937_2.tif,10daf3df-2a9b-466b-b5c9-5ade7f2f38dc,Cell,,,VTA,Polygon,565.08,256.63,16.7764,16.8111,0.746,6.1274,4.4008,0.649,4.1449,887,6.3351,39,2,37,162.8084,34841,62.8126,255,43,212,2.8037,600,2.3654,16,2,14,58.2336,34.6108,0.6109,13.3332,6.2923,0.8945,4.8108,7.9399,61,2,66.3398,76.4607,255,2,3.011,2.5031,27,2,5.0902,8.5139,61,2,25.8608,33.1474,255,2,3.098,2.5559,27,2,0.2929
9937_2.tif,a508b4e8-c4a0-4010-b177-4f14b4d7ea7c,Cell,,,VTA,Polygon,535.34,258.63,15.244,14.5744,0.9018,5.0218,3.8769,0.5758,5.0052,971,5.8305,32,2,30,94.7474,18381,51.5277,240,12,228,2.7165,527,1.4131,10,2,8,130.5014,42.8287,0.894,14.9897,10.9683,0.6952,4.7367,5.7197,45,2,24.3693,32.8446,240,2,2.7768,1.6903,18,2,4.7003,5.7056,45,2,14.8081,10.0736,62,2,2.785,1.7248,18,2,0.1142
9937_2.tif,22419949-ab5d-4a93-8c1d-d0df10582731,Cell,,,VTA,Polygon,551.41,264.66,66.2992,29.8398,0.9357,10.5684,8.1209,0.6432,6.1939,5110,9.6623,70,2,68,244.7321,201904,27.234,255,95,160,2.7552,2273,2.0074,20,2,18,196.5587,53.2095,0.8724,19.1457,14.0923,0.7233,5.1361,7.7929,70,2,97.6224,108.2479,255,1,2.9635,2.3681,36,2,4.5954,6.5751,57,2,22.4269,24.6008,255,1,3.07,2.5266,36,2,0.3344
9937_2.tif,d24dc49f-d30a-44e5-bf9e-653feff19629,Cell,,,VTA,Polygon,593.31,264.17,11.2112,12.6593,0.8791,4.8631,3.2847,0.68,5.6268,799,7.5443,30,2,28,211.0282,29966,48.9381,255,75,180,2.9225,415,2.3158,16,2,14,30.3267,22.8971,0.7269,8.6843,5.7358,0.731,4.7154,6.665,40,2,101.2101,94.5618,255,2,2.9122,2.371,21,2,4.1624,6.0199,40,2,34.5684,33.648,198,2,2.906,2.4088,21,2,0.3628
